row_id,house_number,street_name,borough,postcode
1,114,SEIGEL STREET,Brooklyn,11206
2,1920,UNION STREET,Brooklyn,11233
3,2555,WILLIAMSBRIDGE ROAD,Bronx,10469
4,763,JENNINGS STREET,Bronx,10459
5,275,PRESIDENT STREET,Brooklyn,11231
6,1402,NEW YORK AVENUE,Brooklyn,11210
7,658,DRIGGS AVENUE,Brooklyn,11211
8,740,EAST 222 STREET,Bronx,10467
9,390,1 AVENUE,Manhattan,10010
10,91,VISITATION PLACE,Brooklyn,11231
11,127,EAST 117 STREET,Manhattan,10035
12,1590,EAST 19 STREET,Brooklyn,11230
13,720,EAST 220 STREET,Bronx,10467
14,1418,BROOKLYN AVENUE,Brooklyn,11210
15,1908,AMETHYST STREET,Bronx,10462
16,15,FLATBUSH AVENUE,Brooklyn,11217
17,118-19,190 STREET,Queens,11412
18,391,EAST 10 STREET,Manhattan,10009
19,28,CLINTON STREET,Manhattan,10002
20,1560,BOONE AVENUE,Bronx,10460
21,1663,EAST NEW YORK AVENUE,Brooklyn,11212
22,20,VANDALIA AVENUE,Brooklyn,11239
23,204,AVENUE A,Manhattan,10009
24,405,EVERGREEN AVENUE,Brooklyn,11221
25,2015,MONTEREY AVENUE,Bronx,10457
26,3,PETER COOPER ROAD,Manhattan,10010
27,3103,FOSTER AVENUE,Brooklyn,11210
28,493,ASHFORD STREET,Brooklyn,11207
29,145,MADISON AVENUE,Manhattan,10016
30,312,DEVOE STREET,Brooklyn,11211
31,2079,MOHEGAN AVENUE,Bronx,10460
32,30,KENT STREET,Brooklyn,11222
33,118,FENIMORE STREET,Brooklyn,11225
34,328,WEST 49 STREET,Manhattan,10019
35,54,CROWN STREET,Brooklyn,11225
36,1424,HANCOCK STREET,Brooklyn,11237
37,2075,2 AVENUE,Manhattan,10029
38,69,EAST 4 STREET,Manhattan,10003
39,414,VANDALIA AVENUE,Brooklyn,11239
40,111,EAST 172 STREET,Bronx,10452
41,50,ATLANTIC AVENUE,Brooklyn,11201
42,211,EAST 106 STREET,Manhattan,10029
43,2741,CRESTON AVENUE,Bronx,10468
44,335,BOND STREET,Brooklyn,11231
45,847,FOX STREET,Bronx,10459
46,489,SCHROEDERS AVENUE,Brooklyn,11239
47,938,BUSHWICK AVENUE,Brooklyn,11221
48,451,PROSPECT PLACE,Brooklyn,11238
49,1,STUYVESANT OVAL,Manhattan,10009
50,464,NOSTRAND AVENUE,Brooklyn,11216
51,157,WEST KINGSBRIDGE ROAD,Bronx,10463
52,68,CHARLTON STREET,Manhattan,10014
53,110-01,62 DRIVE,Queens,11375
54,840,SUTTER AVENUE,Brooklyn,11207
55,674,MYRTLE AVENUE,Brooklyn,11205
56,748,EAST TREMONT AVENUE,Bronx,10457
57,1204,37 STREET,Brooklyn,11218
58,65-43,PARSONS BOULEVARD,Queens,11365
59,1316,BOSTON ROAD,Bronx,10456
60,20-12,20 STREET,Queens,11105
61,2460,WHITE PLAINS ROAD,Bronx,10467
62,322,BERGEN STREET,Brooklyn,11217
63,344,EAST 176 STREET,Bronx,10457
64,1761,WALTON AVENUE,Bronx,10453
65,420,EAST 102 STREET,Manhattan,10029
66,106,WEST 144 STREET,Manhattan,10030
67,793,FAIRMOUNT PLACE,Bronx,10460
68,2121,FREDERICK DOUGLASS BOULEVARD,Manhattan,10026
69,941,PARK PLACE,Brooklyn,11213
70,200,BETHEL LOOP,Brooklyn,11239
71,521,EAST 14 STREET,Manhattan,10009
72,561,CAULDWELL AVENUE,Bronx,10455
73,1113,GRANT AVENUE,Bronx,10456
74,865,THOMAS S BOYLAND STREET,Brooklyn,11212
75,128,WEST 116 STREET,Manhattan,10026
76,1906,AMETHYST STREET,Bronx,10462
77,221,WEST STREET,Brooklyn,11222
78,472,WILLIS AVENUE,Bronx,10455
79,643,WILLOUGHBY AVENUE,Brooklyn,11206
80,62,WEST TREMONT AVENUE,Bronx,10453
81,407,EAST 160 STREET,Bronx,10451
82,500,SAINT MARKS AVENUE,Brooklyn,11238
83,2319,3 AVENUE,Manhattan,10035
84,729,LIBERTY AVENUE,Brooklyn,11208
85,375,LEFFERTS AVENUE,Brooklyn,11225
86,65-61,PARSONS BOULEVARD,Queens,11365
87,544,EAST 13 STREET,Manhattan,10009
88,1925,FULTON STREET,Brooklyn,11233
89,3506,FARRAGUT ROAD,Brooklyn,11210
90,372,BRISTOL STREET,Brooklyn,11212
91,279,SOUTH 1 STREET,Brooklyn,11211
92,141,PARK HILL AVENUE,Staten Island,10304
93,2,ADLER PLACE,Bronx,10475
94,1711,HANCOCK STREET,Queens,11385
95,1937,FULTON STREET,Brooklyn,11233
96,806,MIDWOOD STREET,Brooklyn,11203
97,1013,ATLANTIC AVENUE,Brooklyn,11238
98,3827,3 AVENUE,Bronx,10457
99,744,MAC DONOUGH STREET,Brooklyn,11233
100,1535,BEDFORD AVENUE,Brooklyn,11216
101,458,CYRUS PLACE,Bronx,10458
102,80-97,CYPRESS AVENUE,Queens,11385
103,627,FRANKLIN AVENUE,Brooklyn,11238
104,1541,DEAN STREET,Brooklyn,11213
105,210,JAVA STREET,Brooklyn,11222
106,985,PARK PLACE,Brooklyn,11213
107,215,AUDUBON AVENUE,Manhattan,10033
108,2031,UNION STREET,Brooklyn,11212
109,12,KINGSTON AVENUE,Brooklyn,11213
110,625,FULTON STREET,Brooklyn,11201
111,55,EAST MOSHOLU PARKWAY NORTH,Bronx,10467
112,320,VANDERBILT AVENUE,Staten Island,10304
113,5211,6 AVENUE,Brooklyn,11220
114,510,EAST 23 STREET,Manhattan,10010
115,637,EAST 176 STREET,Bronx,10457
116,669,MAC DONOUGH STREET,Brooklyn,11233
117,1760,GRAND AVENUE,Bronx,10453
118,212,LINDEN BOULEVARD,Brooklyn,11226
119,975,TIFFANY STREET,Bronx,10459
120,304,EAST 126 STREET,Manhattan,10035
121,592,QUINCY STREET,Brooklyn,11221
122,2540,FREDERICK DOUGLASS BOULEVARD,Manhattan,10030
123,87,GATEWAY DRIVE,Brooklyn,11239
124,69,WEST 130 STREET,Manhattan,10037
125,120,ALCOTT PLACE,Bronx,10475
126,5301,6 AVENUE,Brooklyn,11220
127,2121,ADAM C POWELL BOULEVARD,Manhattan,10027
128,2247,WALTON AVENUE,Bronx,10453
129,1214,WHEELER AVENUE,Bronx,10472
130,442,MADISON STREET,Brooklyn,11221
131,580,LAFAYETTE AVENUE,Brooklyn,11205
132,480,GATES AVENUE,Brooklyn,11216
133,300,1 AVENUE,Manhattan,10009
134,1255,BEDFORD AVENUE,Brooklyn,11216
